(4, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 502)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CCO',), ('O=C(CO)OP(=O)(O)O',), 158)
(1, ('O=C(CO)OP(=O)(O)O',), ('O=C(O)CO',), 2)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(4, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 502)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CCO',), ('O=C(O)CO',), 1)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('OCC1OC(O)(CO)C(O)C1O',), 32)
(4, ('OCC1OC(O)(CO)C(O)C1O',), ('O=C(CO)C(O)C(O)C(O)CO',), 212)
(3, ('O=C(CO)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CCO'), 1078)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CCO',), ('O=C(CO)OP(=O)(O)O',), 158)
(1, ('O=C(CO)OP(=O)(O)O',), ('O=C(O)CO',), 2)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('OCC1OC(O)(CO)C(O)C1O',), 32)
(4, ('OCC1OC(O)(CO)C(O)C1O',), ('O=C(CO)C(O)C(O)C(O)CO',), 212)
(3, ('O=C(CO)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CCO'), 1078)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CCO',), ('O=C(O)CO',), 1)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('OCC1OC(O)(CO)C(O)C1O',), 32)
(4, ('OCC1OC(O)(CO)C(O)C1O',), ('O=C(CO)C(O)C(O)C(O)CO',), 212)
(3, ('O=C(CO)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=C(O)C(=O)CO'), 1124)
(2, ('O=C(O)C(=O)CO',), ('O=CCO',), 104)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('OCC1OC(O)(CO)C(O)C1O',), 32)
(4, ('OCC1OC(O)(CO)C(O)C1O',), ('OCC(O)C(O)(O)CO', 'OCC(O)C(O)CO'), 515)
(3, ('OCC(O)C(O)CO',), ('O=CC(O)C(O)CO',), 624)
(3, ('OCC(O)C(O)(O)CO',), ('O=C(CO)C(O)(O)CO',), 607)
(2, ('O=C(CO)C(O)(O)CO',), ('O=C(O)CO', 'O=CCO'), 108)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('OCC1OC(O)(CO)C(O)C1O',), 32)
(4, ('OCC1OC(O)(CO)C(O)C1O',), ('OCC(O)C(O)(O)CO', 'OCC(O)C(O)CO'), 515)
(3, ('OCC(O)C(O)CO',), ('O=C(CO)C(O)CO',), 609)
(3, ('OCC(O)C(O)(O)CO',), ('O=C(CO)C(O)(O)CO',), 607)
(2, ('O=C(CO)C(O)(O)CO',), ('O=C(O)CO', 'O=CCO'), 108)
(2, ('O=C(CO)C(O)CO',), ('O=CCO', 'O=CCO'), 92)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
(3, ('O=CC(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CC(=O)O'), 1139)
(3, ('O=C(CO)C(O)O', 'C=O'), ('O=C(CO)C(O)(O)CO',), 1250)
(2, ('O=C(CO)C(O)(O)CO',), ('O=C(O)CO', 'O=CCO'), 108)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
(3, ('O=CC(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CC(=O)O'), 1139)
(3, ('O=C(CO)C(O)O', 'C=O'), ('O=C(CO)C(O)(O)CO',), 1250)
(2, ('O=C(CO)C(O)(O)CO',), ('O=C(O)CO', 'O=CCO'), 108)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('C=O', 'O=CC(=O)O'), ('O=CCO',), 99)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
(3, ('O=CC(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CC(=O)O'), 1139)
(3, ('C=O', 'O=CC(O)C(=O)O'), ('O=C(O)C(O)C(=O)CO',), 1109)
(2, ('O=C(O)C(O)C(=O)CO',), ('O=CC(=O)O', 'O=CCO'), 94)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
(3, ('O=CC(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CC(=O)O'), 1139)
(3, ('C=O', 'O=CC(O)C(=O)O'), ('O=C(O)C(O)C(=O)CO',), 1109)
(2, ('O=C(O)C(O)C(=O)CO',), ('O=CC(=O)O', 'O=CCO'), 94)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('C=O', 'O=CC(=O)O'), ('O=CCO',), 99)
(1, ('O=CCO',), ('O=C(O)CO',), 1)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
(3, ('O=CC(O)C(O)C(O)CO',), ('O=CC(O)C(O)CO', 'O=CC(=O)O'), 1139)
(3, ('C=O', 'O=CC(O)(O)CO'), ('O=C(CO)C(O)(O)CO',), 1110)
(2, ('O=C(CO)C(O)(O)CO',), ('O=C(O)CO', 'O=CCO'), 108)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 118)
(2, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CC(O)C(O)C(O)CO', 'C=O'), 480)
