Rule ID,Rule,EC number,Reaction order,Diameter,Score,,,
1.3.1.e.1.f,"([C:1][C:2]([C,O:3])=[C:4]([C,O,N:5])[C:6])>>([C:1][CH:2]([*:3])[CH:4]([*:5])[C:6])",1.3.1.e.1.f,1,1,doubledirection,,,
1.3.1.e.1.r,"([C:1][CH:2]([C,O:3])[CH:4]([C,O,N:5])[C:6])>>([C:1][C:2]([*:3])=[C:4]([*:5])[C:6])",1.3.1.e.1.r,1,1,doubledirection,,,
1.3.1.e.2.f,"([CH:2]([C,O:3])=[C:4]([C,O,N:5])[C:6])>>([CH2:2]([*:3])[CH:4]([*:5])[C:6])",1.3.1.e.2.f,1,1,doubledirection,,,
1.3.1.e.2.r,"([CH2:2]([C,O:3])[CH:4]([C,O,N:5])[C:6])>>([CH:2]([*:3])=[C:4]([*:5])[C:6])",1.3.1.e.2.r,1,1,doubledirection,,,
1.3.1.e.3.f,"([C:1][C:2]([C,O:3])=[CH:4][C,O,N:5])>>([C:1][CH:2]([*:3])[CH2:4][*:5])",1.3.1.e.3.f,1,1,doubledirection,,,
1.3.1.e.3.r,"([C:1][CH:2]([C,O:3])[CH2:4][C,O,N:5])>>([C:1][C:2]([*:3])=[CH:4][*:5])",1.3.1.e.3.r,1,1,doubledirection,,,
1.3.1.e.4.f,"([CH:2]([C,O:3])=[CH:4][C,O,N:5])>>([CH2:2]([*:3])[CH2:4][*:5])",1.3.1.e.4.f,1,1,doubledirection,,,
1.3.1.e.4.r,"([CH2:2]([C,O:3])[CH2:4][C,O,N:5])>>([CH:2]([*:3])=[CH:4][*:5])",1.3.1.e.4.r,1,1,doubledirection,,,
1.3.1.e.6.f,"([CH2:2]=[C:4]([C,O,N:5])[C:6])>>([CH3:2][CH:4]([*:5])[C:6])",1.3.1.e.6.f,1,1,doubledirection,,,
1.3.1.e.6.r,"([CH3:2][CH:4]([C,O,N:5])[C:6])>>([CH2:2]=[C:4]([*:5])[C:6])",1.3.1.e.6.r,1,1,doubledirection,,,
1.3.1.e.9.f,([C:1][CH:2]=[CH2:3])>>([C:1][CH2:2][CH3:3]),1.3.1.e.9.f,1,1,doubledirection,,,
1.3.1.e.9.r,([C:1][CH2:2][CH3:3])>>([C:1][CH:2]=[CH2:3]),1.3.1.e.9.r,1,1,doubledirection,,,
1.3.1.e.10.f,([CH2:2]=[CH2:3])>>([CH3:2][CH3:3]),1.3.1.e.10.f,1,1,doubledirection,,,
1.3.1.e.10.r,([CH3:2][CH3:3])>>([CH2:2]=[CH2:3]),1.3.1.e.10.r,1,1,doubledirection,,,
1.4.1.a.1.f,([NH2:1][CH:2]([C:3])[C:4].[OH2:5])>>([O:5]=[C:2]([C:3])[C:4].[NH3:1]),1.4.1.a.1.f,1,1,doubledirection,,,
1.4.1.a.1.r,([O:5]=[C:2]([C:3])[C:4].[NH3:1])>>([NH2:1][CH:2]([C:3])[C:4]),1.4.1.a.1.r,1,1,doubledirection,,,
1.4.1.a.2.f,([NH2:1][CH2:2][C:4].[OH2:5])>>([O:5]=[CH:2][C:4].[NH3:1]),1.4.1.a.2.f,1,1,doubledirection,,,
1.4.1.a.2.r,([O:5]=[CH:2][C:4].[NH3:1])>>([NH2:1][CH2:2][C:4]),1.4.1.a.2.r,1,1,doubledirection,,,
1.4.1.a.3.f,([NH2:1][CH3:2].[OH2:5])>>([O:5]=[CH2:2].[NH3:1]),1.4.1.a.3.f,1,1,doubledirection,,,
1.4.1.a.3.r,([O:5]=[CH2:2].[NH3:1])>>([NH2:1][CH3:2]),1.4.1.a.3.r,1,1,doubledirection,,2.3.1.a.1.f,2.3.3.a.1.f
2.1.2.a.1.f,"([O:1]=[CH2:2].[CH,CH2:3]([NH2:4])[C:5](=[O:6])[OH:7])>>([OH:1][CH2:2][*:3]([NH2:4])[C:5](=[O:6])[OH:7])",2.1.2.a.1.f,1,1,doubledirection,,,
2.1.2.a.1.r,"([OH:1][CH2:2][C,CH:3]([NH2:4])[C:5](=[O:6])[OH:7])>>([O:1]=[CH2:2].[*:3]([NH2:4])[C:5](=[O:6])[OH:7])",2.1.2.a.1.r,1,1,doubledirection,,,
